,size_dataset,lookback,mean,std
0,1y,05d,6.567412320228381,1.1402144965798404
1,1y,10d,6.3265984358833895,1.0908134199541264
2,1y,20d,5.551232233801088,1.4133334166230886
3,1y,30d,6.173192367547551,1.2944376060545812
4,1y,40d,6.421397187477048,1.3759098772786968
5,1y,50d,6.416432794713994,1.3768735214769816
6,1y,60d,5.243539121511255,1.13249610288002
7,3y,05d,6.637229485732732,3.8738242242324947
8,3y,10d,4.983411889743659,3.694982057331915
9,3y,20d,2.8515343926205823,0.48906240160983927
10,3y,30d,2.9948100743745045,0.5949227459828362
11,3y,40d,3.022054340768745,0.6466392899650276
12,3y,50d,4.123489317152892,1.3219984963740739
13,3y,60d,3.7562807047194227,0.7219547699860789
14,5y,05d,11.450990683677555,4.334443337900724
15,5y,10d,17.371628862468793,10.604963901823147
16,5y,20d,22.083612955788823,22.29025514758639
17,5y,30d,15.356325907680505,8.369690890479022
18,5y,40d,73.48400817321992,138.21095143067387
19,5y,50d,20.330717668069873,18.68758709969581
20,5y,60d,57.34322063842399,68.88326116231497
