timeperiod;dropout;optimizer;eta;Runtime;rsme;mape;loss;mse
60d;0.2;adam;0.089;5814;40661.866;182.252;0.648;0.648
60d;0.3;adam;0.011;5590;289.706;2.817;0.001;0.001
60d;0.3;adam;0.056;5292;19500.774;93.889;0.013;0.013
60d;0.3;sgd;0.041;5685;5235.188;21.881;0.003;0.003
60d;0.2;sgd;0.005;6542;5316.890;22.699;0.004;0.004
60d;0.3;sgd;0.014;6238;4812.297;20.522;0.004;0.004
50d;0.3;adam;0.067;5194;12231.395;58.307;0.015;0.015
50d;0.2;sgd;0.076;5150;3690.576;15.685;0.002;0.002
50d;0.2;sgd;0.055;5157;3030.388;13.440;0.003;0.003
50d;0.2;sgd;0.090;4990;2842.096;12.564;0.003;0.003
50d;0.1;adam;0.030;5069;1753.020;11.296;0.001;0.001
50d;0.1;sgd;0.082;5061;2262.099;10.692;0.002;0.002
40d;0.1;adam;0.052;5163;5383.196;23.505;0.009;0.009
40d;0.3;adam;0.013;5428;801.795;3.828;0.001;0.001
40d;0.3;sgd;0.062;5725;3815.500;16.374;0.003;0.003
40d;0.1;adam;0.066;5248;87998.267;355.210;1.630;1.630
40d;0.2;sgd;0.066;5680;4229.441;17.828;0.003;0.003
40d;0.1;adam;0.066;6219;5817.231;24.159;0.078;0.078
30d;0.2;sgd;0.028;5144;3686.414;16.000;0.003;0.003
30d;0.1;sgd;0.049;5036;3743.652;16.101;0.003;0.003
30d;0.3;sgd;0.083;5243;2446.690;11.177;0.003;0.003
30d;0.2;adam;0.025;5015;948.468;4.701;0.001;0.001
30d;0.1;sgd;0.051;4908;3190.555;14.083;0.003;0.003
30d;0.1;adam;0.081;4841;1982.747;30.076;0.082;0.082
20d;0.2;adam;0.017;4791;985.287;4.159;0.001;0.001
20d;0.1;sgd;0.074;4720;3971.378;17.128;0.002;0.002
20d;0.2;sgd;0.094;4675;2890.417;12.567;0.003;0.003
20d;0.3;adam;0.013;4750;1640.411;7.677;0.001;0.001
20d;0.3;adam;0.059;5124;14090.266;64.785;0.010;0.010
20d;0.2;adam;0.057;5336;8411.298;26.186;0.079;0.079
10d;0.2;adam;0.077;4936;391.319;34.991;0.086;0.086
10d;0.2;adam;0.030;5562;859.735;6.176;0.001;0.001
10d;0.1;adam;0.076;5053;7397.735;24.413;0.081;0.081
10d;0.1;sgd;0.005;5393;3153.833;14.637;0.002;0.002
10d;0.2;adam;0.086;5401;789.860;9.567;0.005;0.005
10d;0.2;sgd;0.028;5239;3374.621;14.445;0.002;0.002
