,volume,lookback,mean,std
0,1y,05d,1.1402144965798404,1.1402144965798404
1,1y,10d,1.0908134199541264,1.0908134199541264
2,1y,20d,1.4133334166230886,1.4133334166230886
3,1y,30d,1.2944376060545812,1.2944376060545812
4,1y,40d,1.3759098772786968,1.3759098772786968
5,1y,50d,1.3768735214769816,1.3768735214769816
6,1y,60d,1.13249610288002,1.13249610288002
7,3y,05d,3.8738242242324947,3.8738242242324947
8,3y,10d,125.6276329396349,125.6276329396349
9,3y,20d,0.48906240160983927,0.48906240160983927
10,3y,30d,0.5949227459828362,0.5949227459828362
11,3y,40d,0.6466392899650276,0.6466392899650276
12,3y,50d,1.3219984963740739,1.3219984963740739
13,3y,60d,0.7219547699860789,0.7219547699860789
14,5y,05d,3.631952488722113,3.631952488722113
15,5y,10d,1.7514521832990864,1.7514521832990864
16,5y,20d,0.6491835511692023,0.6491835511692023
17,5y,30d,0.38902998459932686,0.38902998459932686
18,5y,40d,1.1174887005695615,1.1174887005695615
19,5y,50d,0.728922010265142,0.728922010265142
20,5y,60d,1.0982836712495019,1.0982836712495019
