,volume,lookback,mape
79,1y,05d,6.5438733412264245
80,1y,05d,4.89757982206293
81,1y,05d,8.386708407207449
82,1y,05d,6.051025262094608
83,1y,05d,6.591140588275082
84,1y,05d,6.934146500503786
73,1y,10d,4.739713872353694
74,1y,10d,7.451243213512623
75,1y,10d,7.102186962914843
76,1y,10d,7.083831129395511
77,1y,10d,5.333962185920018
78,1y,10d,6.248653251203645
67,1y,20d,6.746499773798888
68,1y,20d,5.551781139847779
69,1y,20d,5.9819526936562495
70,1y,20d,7.243839987043129
71,1y,20d,3.8983749701239856
72,1y,20d,3.884944838336503
61,1y,30d,5.918161281094693
62,1y,30d,5.219288993899077
63,1y,30d,8.577478541552424
64,1y,30d,4.921667464463679
65,1y,30d,6.036374784833313
66,1y,30d,6.366183139442118
55,1y,40d,6.202943292376822
56,1y,40d,8.351687724714488
57,1y,40d,4.922257202479322
58,1y,40d,5.022790352912643
59,1y,40d,6.387781034125495
60,1y,40d,7.64092351825352
49,1y,50d,6.745230346050314
50,1y,50d,6.6811174288595305
51,1y,50d,7.812101698399236
52,1y,50d,7.386990690576326
53,1y,50d,5.9442798278103925
54,1y,50d,3.9288767765881616
43,1y,60d,6.085268074727447
44,1y,60d,4.89289922212267
45,1y,60d,3.9737122356894408
46,1y,60d,6.951291036653847
47,1y,60d,4.221864852574682
48,1y,60d,5.3361993072994425
123,3y,05d,4.7000739046709015
124,3y,05d,2.9359460888436444
125,3y,05d,12.331872852305974
126,3y,05d,7.160207335122289
127,3y,05d,2.8326486700062143
128,3y,05d,9.86262806344737
115,3y,10d,4.185943544378057
116,3y,10d,2.969888602467569
117,3y,10d,2.741961410839497
118,3y,10d,11.517977487289114
119,3y,10d,247.65905663555765
120,3y,10d,247.65905663555765
121,3y,10d,3.5012884037440557
122,3y,10d,247.65905663555765
109,3y,20d,3.676111716565732
110,3y,20d,3.217166723739753
111,3y,20d,2.529205473070757
112,3y,20d,2.5293758050115787
113,3y,20d,2.692046550323412
114,3y,20d,2.465300087012261
102,3y,30d,2.830451433067271
103,3y,30d,3.367599921600886
104,3y,30d,2.643760096442177
105,3y,30d,2.615488788568611
106,3y,30d,2.481071158446839
107,3y,30d,4.030489048121247
97,3y,40d,3.78118082185013
98,3y,40d,2.640570679303386
99,3y,40d,2.314537234210777
100,3y,40d,3.87118282885244
101,3y,40d,2.683379943156127
108,3y,40d,2.841474537239609
91,3y,50d,3.7933157598998815
92,3y,50d,3.1515321843278405
93,3y,50d,6.159595981083451
94,3y,50d,2.99879815403152
95,3y,50d,3.270587607690885
96,3y,50d,5.36710621588377
85,3y,60d,4.129794491049573
86,3y,60d,3.778604007614723
87,3y,60d,3.79075470731077
88,3y,60d,2.379619465646315
89,3y,60d,3.982566484867252
90,3y,60d,4.476345071827903
37,5y,05d,2.791894488326224
38,5y,05d,7.144443431053686
39,5y,05d,12.276240635773988
40,5y,05d,3.373435817678593
41,5y,05d,3.66560132150483
42,5y,05d,4.041589207390018
31,5y,10d,3.182723223985684
32,5y,10d,7.138182910970868
33,5y,10d,2.985895910639641
34,5y,10d,2.810575033585798
35,5y,10d,2.3934244906908853
36,5y,10d,4.240055223659003
25,5y,20d,3.2315181271114977
26,5y,20d,4.609695896555581
27,5y,20d,2.9546668182343505
28,5y,20d,3.6285026685389847
29,5y,20d,3.5549456591968807
30,5y,20d,2.796325991172812
19,5y,30d,2.721818705943236
20,5y,30d,2.545128209803788
21,5y,30d,3.494159009016132
22,5y,30d,2.477709485419504
23,5y,30d,3.0740083355504244
24,5y,30d,3.0934230590672587
12,5y,40d,5.581878934100717
13,5y,40d,2.446545330978146
14,5y,40d,3.871358361267104
15,5y,40d,2.9248325600211937
16,5y,40d,3.620847780104102
17,5y,40d,2.633108749359294
18,5y,40d,2.5380488674466344
6,5y,50d,3.5400640305777067
7,5y,50d,2.769349434270716
8,5y,50d,2.9399371283474545
9,5y,50d,2.8758672105117022
10,5y,50d,4.696990078136766
11,5y,50d,3.060341327814528
0,5y,60d,2.93405450094036
1,5y,60d,3.3441647044792084
2,5y,60d,2.9367739485696087
3,5y,60d,2.5561657183400666
4,5y,60d,2.751509224427796
5,5y,60d,5.517846927888545
