lookback;dropout;optimizer;eta;runtime;rsme;mape;mse
5d;0,3;adam;0,071110525;4792;866,9391435;6,543184176;0,001181157
5d;0,3;adam;0,040244133;4814;2515,004459;8,411757683;0,001061906
5d;0,2;sgd;0,071004542;4931;3474,920239;14,70308265;0,001816867
5d;0,2;sgd;0,054724813;5552;4324,273432;18,29358792;0,00182224
5d;0,2;sgd;0,090678861;5797;2261,033171;9,702608729;0,002135387
5d;0,1;adam;0,080647288;5216;2756,60622;11,05172294;0,001278515
60d;0,2;adam;0,08891931;5814;40661,86581;182,2521423;0,649894953
60d;0,3;adam;0,01074722;5590;289,7055677;2,81717757;0,000877757
60d;0,3;adam;0,056046631;5292;19500,77402;93,88853344;0,012551483
60d;0,3;sgd;0,041170089;5685;5235,188172;21,8806742;0,00338888
60d;0,2;sgd;0,005017455;6542;5316,890016;22,69873899;0,003729296
60d;0,3;sgd;0,014359067;6238;4812,296663;20,52205734;0,003916113
50d;0,3;adam;0,066968009;5194;12231,395;58,30723263;0,014469896
50d;0,2;sgd;0,075949799;5150;3690,576389;15,68463649;0,002557711
50d;0,2;sgd;0,055008832;5157;3030,388285;13,44019601;0,002868519
50d;0,2;sgd;0,089982634;4990;2842,09637;12,5642202;0,002487284
50d;0,1;adam;0,030160141;5069;1753,019738;11,29552319;0,000785112
50d;0,1;sgd;0,081572474;5061;2262,099017;10,69249749;0,002340969
40d;0,1;adam;0,052270548;5163;5383,196435;23,50528469;0,008767588
40d;0,3;adam;0,013323586;5428;801,7949219;3,828400708;0,000938266
40d;0,3;sgd;0,061689677;5725;3815,500222;16,37406304;0,003161824
40d;0,1;adam;0,066152212;5248;87998,267;355,2097916;1,623872638
40d;0,2;sgd;0,065801534;5680;4229,440893;17,82799953;0,002569211
40d;0,1;adam;0,066146032;6219;5817,230961;24,15850944;0,079348341
30d;0,2;sgd;0,028498223;5144;3686,413856;15,99978702;0,003130226
30d;0,1;sgd;0,049323848;5036;3743,652455;16,10052137;0,002469914
30d;0,3;sgd;0,082896054;5243;2446,690157;11,17733492;0,002971169
30d;0,2;adam;0,024574253;5015;948,4675961;4,701044063;0,000681389
30d;0,1;sgd;0,050865784;4908;3190,554629;14,08319678;0,002734137
30d;0,1;adam;0,081110619;4841;1982,74747;30,0760713;0,082121603
20d;0,2;adam;0,0167093;4791;985,2874905;4,158556677;0,000830677
20d;0,1;sgd;0,074251666;4720;3971,378234;17,12842796;0,002314891
20d;0,2;sgd;0,094466781;4675;2890,417101;12,56660741;0,002562203
20d;0,3;adam;0,012620475;4750;1640,41103;7,676507532;0,000804677
20d;0,3;adam;0,058947483;5124;14090,26604;64,78545353;0,009545586
20d;0,2;adam;0,056518004;5336;8411,298251;26,18612463;0,078270949
10d;0,2;adam;0,077121931;4936;391,3189363;34,99131775;0,087059043
10d;0,2;adam;0,029997088;5562;859,7346291;6,176233857;0,001200261
10d;0,1;adam;0,075633142;5053;7397,734963;24,41328189;0,080161192
10d;0,1;sgd;0,005099232;5393;3153,833185;14,63666849;0,002525975
10d;0,2;adam;0,086147476;5401;789,8600896;9,56748132;0,004944919
10d;0,2;sgd;0,028015226;5239;3374,621295;14,44478987;0,002505717
